Hmgn2	11.3012	10.0265	11.0972	10.3804	0.77835	0.86288	11.518	11.0203
Fam32a	14.0136	13.6479	12.5767	11.9348	12.1269	12.0266	14.9111	12.9094
Elf3	53.505	53.0805	44.6164	44.229	48.5021	46.8176	42.8305	45.1891
Stk11	5.5498	5.3912	4.6213	4.475	4.7265	4.5563	5.214	5.0056
Efna2	8.9789	9.7468	4.7722	5.2001	5.9773	5.3036	6.0126	5.249
Atp5d	33.8607	33.1802	30.9725	28.0212	27.2449	26.4403	31.1624	30.8412
Ppp5c	8.1176	7.9929	7.1319	7.1309	6.6703	6.6418	7.6276	7.3894
Cdk12	6.3276	6.4707	10.1962	10.7985	14.0597	15.285	7.0226	7.8644
Pafah1b2	11.4909	11.7207	11.5612	12.9165	13.5311	13.9455	11.2318	11.9493
Cnot11	5.7511	6.1124	6.0277	7.0562	7.66	7.5267	6.8025	7.609
Slc2a3	187.5564	206.302	167.6102	167.2338	140.5173	144.3746	143.5641	144.9545
Sri	8.9003	9.0361	8.4348	7.7834	6.8705	7.1223	9.0433	7.5732
Mpnd	5.0466	4.8367	4.2526	4.1875	3.132	3.3438	3.6153	3.3997
Sh3gl1	15.2992	15.0829	16.2435	15.2264	16.9029	15.8513	17.5311	15.3945
Ranbp2	16.8998	17.01	19.7129	19.8087	25.5615	26.5377	18.7467	21.499
Dvl3	6.7743	6.3407	6.4264	6.8416	8.4068	7.9287	8.0458	8.0658
Abcf3	6.6999	6.6781	5.8008	6.3432	5.514	5.1355	7.5446	7.7144
Eif2b5	23.7712	23.0443	21.4838	21.3656	23.3357	22.4359	26.1791	24.9307
Cyth2	4.0848	4.0538	5.1913	6.0356	7.4611	6.9795	4.6028	4.3025
Glg1	21.8923	21.2011	23.392	22.1299	22.7795	23.0265	23.3672	24.3155
Btbd2	5.2714	4.8158	3.9182	3.3342	2.8998	2.9234	3.2069	3.0078
Csnk1g2	17.2008	16.2824	16.7409	16.7303	17.4458	16.1592	15.5792	15.1843
Abhd17a	14.1237	13.2943	12.4443	11.1957	7.8861	7.7086	11.7518	11.2484
Mob3a	11.7967	10.9818	12.4849	12.2546	14.6173	16.3955	14.4024	13.3997
Ddx23	14.041	13.6416	12.6288	12.7704	13.2736	13.3874	15.2994	15.3023
Pld3	16.2367	16.1642	14.6288	14.1582	14.308	13.9035	15.2835	14.0571
Rabac1	11.4729	10.6908	10.3573	9.3929	7.5172	7.1201	12.7227	10.7311
Prkcsh	35.7493	35.0524	32.9328	33.151	33.1253	33.1919	36.1437	33.7006
Nosip	6.1124	5.7415	5.6634	5.2254	4.7703	4.5067	6.2848	5.6837
Pih1d1	5.2751	4.5032	4.4594	4.7055	4.9893	4.356	5.7331	5.0654
Rps11	101.0331	90.9196	97.4681	90.4466	81.6772	90.7953	106.3346	95.9677
Supt5	14.1185	14.5516	13.5744	14.235	16.3564	15.1906	12.5526	11.7646
Paf1	10.3259	9.9511	9.8362	10.3696	14.0902	13.8836	11.4562	10.3983
Timm50	11.2277	10.9739	11.6596	11.1382	11.4627	9.5717	12.4772	10.8868
Med29	3.9187	3.3632	5.3303	5.3761	4.0891	3.8408	5.3992	4.1492
Ncstn	13.9625	13.6604	14.0085	13.7956	14.1187	13.6723	14.1138	13.8266
Pex19	8.9498	9.0457	8.6436	8.6016	6.9232	6.6607	8.2347	8.3601
Impdh1	6.4327	5.9252	6.2616	5.7672	6.4635	6.3986	7.7167	6.8023
Dusp3	2.4173	2.2068	5.3997	5.2568	8.2125	7.3279	3.0897	2.737
Slc25a1	9.4437	10.0377	8.5163	8.5867	8.3434	8.3304	8.6597	8.7023
Ier3	41.3781	37.5708	11.7409	14.0759	9.4513	9.0144	12.3125	10.8109
Klc4	9.7981	9.2728	8.3798	8.3412	7.1518	6.0736	8.9149	7.626
Rnf215	4.6421	4.1201	4.2238	4.4286	4.2279	4.3041	6.1384	5.2226
Crot	9.3111	9.5815	8.1591	8.6295	5.7282	6.1509	8.9554	9.225
Rps6ka1	17.7672	18.7307	16.1111	16.1309	16.1817	15.7104	15.8714	14.8042
Snrnp200	30.8913	30.5811	29.1932	28.4375	30.7816	30.3753	30.375	34.1629
Ciao1	9.9644	9.8576	8.3467	9.2217	8.4337	8.5919	10.4158	11.3106
Kpna6	11.3623	11.8707	11.2014	10.5691	11.2475	11.0126	12.0828	12.1571
Brd8	5.6712	5.4839	7.0746	7.2568	7.9655	7.8715	4.7913	4.9804
Kif20a	10.3039	10.5168	8.9267	9.0368	8.7899	7.9714	10.6206	10.412
Farsa	6.0288	5.6281	5.675	5.477	5.4852	5.424	6.9739	6.7487
Rad23a	5.4916	5.1371	5.1348	5.4133	4.4373	4.0057	5.1078	6.1158
Calr	697.6997	673.6806	631.3642	649.2974	715.6357	723.2413	624.447	612.873
Syce2	5.4942	5.5753	5.1311	5.5984	4.8169	4.6468	3.6208	3.0806
Nob1	5.1664	4.5105	4.2683	3.9636	5.3465	4.9697	6.7237	6.0788
Nqo1	11.7106	11.2418	12.1966	10.8479	7.4845	7.7676	13.3707	11.9876
Gys1	10.1566	10.3684	9.3717	8.8975	7.1512	6.7623	4.4712	4.74
Ruvbl2	13.3241	13.165	11.2148	11.8353	9.6533	9.1888	9.5632	9.893
Bax	19.7969	19.2469	19.9857	18.1761	18.556	18.1349	22.853	21.7023
Tfam	5.8033	6.0326	5.7957	5.4681	5.4597	5.452	5.3971	5.6368
Fam162a	32.5968	31.893	29.4186	30.4211	20.96	20.8502	13.6716	12.4788
Rpl8	322.1287	329.2648	303.5123	296.9459	265.138	254.2905	292.7621	283.0013
Stat3	6.1882	6.1955	5.7188	5.9367	6.2141	5.9712	7.3043	6.8711
Cavin1	14.4185	16.2071	13.512	16.1946	13.9943	14.9389	13.7097	13.7416
Map3k11	7.35	7.3093	6.7215	6.723	6.7894	5.5898	8.1654	7.8789
Dnaja3	8.5745	8.6564	6.9429	7.5408	5.9998	5.8039	9.6395	8.8682
Cwc15	26.9684	26.8432	28.6742	28.647	32.7302	34.5268	26.059	27.6154
Dnmt1	11.152	10.7716	10.5867	10.3332	12.263	12.6385	11.1662	11.3221
Ppan	9.9334	9.1018	10.6134	10.9725	12.6597	11.4112	9.4815	9.1024
Psap	24.642	22.8294	24.5743	22.893	21.9825	20.9664	26.3719	25.1376
Phb2	21.987	21.3136	20.2078	19.3948	20.6084	20.4501	22.5848	22.7535
Emg1	7.2696	7.4146	6.8926	6.6864	6.2749	6.1346	7.4635	7.3661
Lpcat3	7.6758	7.6077	6.5187	7.0792	7.2168	6.6665	7.9477	7.5398
Atp6v1f	24.7436	22.2909	21.9828	20.5475	17.5705	15.8062	27.4215	23.7464
Clcn5	24.8874	23.4736	28.7371	28.2761	32.7813	33.3909	29.9984	29.9
Utp20	10.5223	10.1867	11.8811	11.1007	13.2009	13.957	16.3604	18.3238
Cul3	22.251	23.8001	28.3993	28.1773	36.4422	36.3561	24.4238	25.3423
Ddx56	13.496	13.1727	12.8303	11.9395	10.4538	11.2601	17.5604	15.7776
Tmed4	15.1873	14.1939	13.3813	13.7623	12.2881	11.5514	14.2506	13.9239
Ralb	22.5923	21.4473	21.5393	22.7057	22.3049	24.6147	29.437	27.3086
Ppp1cc	9.5194	9.6395	9.1054	8.9157	1.4806	1.5796	7.8704	8.3798
Dnajb11	22.5057	21.4734	21.6615	23.5996	26.1034	26.6568	26.6155	27.025
Coro1c	12.0285	12.416	12.1646	11.7179	16.6066	16.8321	17.2242	16.7796
Tax1bp1	15.4216	15.886	17.5168	18.1562	22.0697	21.6104	19.0368	18.4252
Pkn2	6.4925	6.6302	7.2671	7.8936	10.2728	10.7321	6.3219	7.0843
Stxbp2	10.397	10.8435	9.082	8.6348	8.3285	8.8113	8.5228	8.481
Slbp	7.5201	7.6223	7.9289	8.9791	9.5756	9.1471	6.5675	6.6988
Cnn2	22.3383	22.0858	27.8985	29.2487	28.7743	29.6274	26.7054	24.4044
Polr2e	12.8552	12.9125	11.5441	12.7035	10.4811	10.7896	10.578	11.3012
Rab11a	25.0762	26.2766	25.4138	25.3331	26.5316	27.5934	22.9947	22.2815
Eif2b2	5.6618	5.5045	4.9993	6.0949	6.5342	5.837	6.6078	5.9574
Dlst	8.8298	8.9419	8.7402	8.9937	9.7584	9.2159	10.6154	10.0654
Chmp2b	30.6193	30.9602	33.6812	32.5201	32.9674	35.7135	29.3466	29.7244
Plod3	31.6924	28.8124	27.307	27.269	28.7023	28.3225	36.1243	34.8378
Ap1s1	22.5041	20.6196	22.7242	19.3407	17.1216	16.4572	21.8256	19.552
Srpk1	5.3044	5.5953	4.8647	5.0186	6.0344	5.996	6.1046	6.1975
Lbr	9.3966	9.4454	9.4163	9.2314	9.6225	9.9059	10.1684	10.7583
Crabp2	25.2894	24.183	19.8402	24.2542	18.1424	19.5196	8.7111	10.5793
Prcc	43.9651	42.757	42.9267	41.3246	47.045	47.5934	43.0048	40.1169
Hdgf	79.2944	77.8219	66.6627	68.4697	72.5781	75.5649	76.0272	74.6741
Thop1	10.8391	10.889	8.7764	8.7093	7.9429	7.8963	9.0212	9.8544
Pias4	10.7932	11.3075	8.8289	8.6834	8.9905	8.1077	9.1308	8.5593
Map2k1	38.9083	38.8647	34.2247	30.867	24.0624	23.0498	36.9138	36.6343
Sgta	18.3712	18.3731	15.8161	15.8118	17.2121	15.6557	17.4358	15.6108
Tmem242	11.4014	11.0888	11.147	11.4165	9.2994	9.9002	9.8548	9.4281
Hspb1	53.6584	52.3546	47.1663	45.6235	17.2633	15.7632	56.7591	56.4694
Hnrnpa2b1	68.9331	72.1838	64.3205	70.3159	66.6584	68.6665	61.7049	66.4242
Cstb	143.4733	133.9682	155.0448	137.0926	138.6783	161.4463	211.663	200.113
Jkamp	4.8959	5.1374	4.7577	4.3357	3.9075	3.6736	3.9698	3.9203
Wdr1	19.9258	20.1966	27.1799	26.8474	30.7817	30.2812	28.1363	27.1231
Man2b1	7.921	8.3252	7.8264	8.1283	7.3443	6.9789	8.0688	7.789
Klf5	141.4473	160.6566	208.3125	231.0853	285.5934	272.8174	102.4672	113.1973
Prdx2	14.9892	14.5428	13.2307	12.1794	8.6097	7.5563	12.7867	10.827
Polr2a	54.0652	52.775	52.2113	49.2617	58.2311	60.2522	61.4939	63.8571
