Rec8	74.6334	80.711	64.5829	59.2459	47.8398	49.4915	44.8603	49.2526	41.0887	41.2961	40.9139	34.1161	9.1946	8.8388	9.1851	8.2532
Mdp1	5.6702	6.3105	6.8843	6.7169	4.4253	4.747	4.8954	5.5704	4.8636	4.8947	4.2701	4.9744	7.2931	7.6367	7.7801	6.959
Dhrs1	6.6496	7.4663	6.4095	6.6123	5.9177	5.6948	6.3593	6.2751	6.1454	5.0844	5.6592	5.2202	5.2788	5.7536	4.91	5.1217
Borcs8	5.1624	5.4368	4.1713	4.043	4.274	4.4107	3.4591	4.3347	4.3188	3.6768	3.0405	3.6604	3.7707	3.8911	3.7917	3.4619
Snx9	12.2169	13.2361	11.1275	10.7756	12.7524	12.2926	11.6313	12.5429	14.8914	15.3539	17.0156	14.6364	16.958	16.5126	17.2485	18.7374
Ranbp3	11.499	10.7383	8.1354	8.0015	9.5024	9.1902	7.9011	9.0708	10.5908	11.6536	9.9215	8.4126	8.0906	7.7185	8.0159	8.4424
Ndufa11	16.1535	19.1607	15.94	13.9274	16.1061	14.6063	14.1123	14.777	16.0147	17.3334	15.7199	13.2015	14.0649	14.6874	12.5722	14.4082
Dyrk1b	8.4752	7.0212	5.6577	5.1568	8.6273	9.3896	8.2374	9.208	8.3353	9.7651	8.8948	7.6617	3.9218	3.8181	4.2856	3.9667
Braf	5.1834	5.1681	6.0562	6.3289	5.6709	6.3956	5.9359	6.1241	5.7702	5.2548	6.5053	6.6533	6.1469	6.5169	6.8183	6.9691
Prpf6	17.4594	19.9028	16.8921	18.0602	16.5464	16.7584	16.7683	15.5697	15.2225	15.9974	16.149	15.5892	15.9151	15.5719	15.3307	16.5386
Snrpd1	23.7804	25.6727	29.4413	30.5557	30.2367	29.0433	35.0752	29.5322	33.2483	30.8701	32.2405	33.2907	33.0906	30.8633	32.4169	32.5305
Puf60	20.2247	20.1313	15.965	15.8212	20.3979	20.1148	18.9236	18.683	23.2376	22.7865	21.615	19.9042	17.2608	17.7732	18.7554	17.8472
Golga2	5.2956	5.1268	4.5477	4.4341	4.9903	4.793	4.7141	4.7682	5.3851	5.5993	5.7066	5.1797	4.5276	4.5571	4.5193	4.7765
Uck1	7.7977	8.2517	6.8713	7.4204	6.0698	6.3302	5.5743	5.3594	3.7623	4.6216	3.7647	3.1111	5.961	6.5833	6.1701	6.2147
Mien1	11.5724	12.4356	11.8635	11.5667	10.6479	11.4829	9.7326	10.7209	14.2688	17.4993	12.7218	13.4368	13.9388	12.9364	15.541	14.977
Ccdc97	8.4939	8.3261	6.6823	7.0748	6.8627	7.0794	6.7405	7.7064	8.3154	9.1539	8.0458	7.7038	7.0556	7.1009	7.064	7.0597
Pdcd2l	6.0455	7.6485	6.2177	6.4397	7.7903	6.655	6.1399	5.6464	7.618	7.7827	6.9168	6.6157	6.3232	5.7728	5.9643	6.1937
Gtf2f1	61.59	60.6508	47.9266	51.9674	57.3785	57.997	57.1059	47.4848	63.5823	66.8071	66.1219	63.5753	57.8603	55.3398	57.8302	58.6411
Clpp	42.8658	36.1531	32.6014	32.029	28.4781	29.4479	30.3256	28.7425	32.1847	33.4014	30.8374	29.3014	32.514	31.2285	30.2447	36.2395
